,Avg. sheep,Avg. wolves
717,170.42,46.53
718,160.53,60.58
719,308.06,60.83
720,133.6,58.3
721,128.45,92.8
722,139.84,81.72
723,139.84,81.72
724,265.48,73.93
725,145.87,58.79
726,228.64,63.69
727,139.84,81.72
728,267.1,51.73
729,367.56,48.3
730,267.1,51.73
731,267.1,51.73
732,197.52,69.75
733,575.19,143.16
734,158.74,72.45
735,185.43,241.0
736,184.08,266.34
737,184.08,266.34
738,229.04,259.82
739,202.15,96.53
740,665.92,138.22
741,184.08,266.34
742,186.27,346.44
743,169.91,296.59
744,186.27,346.44
745,186.27,346.44
746,206.76,387.28
747,132.3,74.48
748,397.11,315.69
749,146.09,75.18
750,114.4,87.79
751,114.4,87.79
752,146.79,61.49
753,258.18,297.19
754,118.84,86.23
755,114.4,87.79
756,1940.2,320.74
757,1351.23,367.35
758,1940.2,320.74
759,1940.2,320.74
760,366.91,507.88
761,599.77,49.34
762,6664.42,98.66
763,288.71,87.06
764,277.18,90.26
765,277.18,90.26
766,601.21,43.88
767,1735.21,203.11
768,243.48,150.58
769,277.18,90.26
770,476.86,82.95
771,660.85,74.42
772,476.86,82.95
773,476.86,82.95
774,579.13,68.45
775,3029.74,98.51
776,211.57,194.84
777,378.03,450.25
778,423.34,420.84
779,423.34,420.84
780,312.92,429.6
781,279.11,190.48
782,4203.22,83.49
783,423.34,420.84
784,485.33,165.38
785,511.24,191.96
786,485.33,165.38
787,485.33,165.38
788,657.99,148.67
789,436.92,203.1
790,671.86,116.73
791,999.8,114.15
792,1334.25,97.42
793,1334.25,97.42
794,1006.32,114.09
795,1012.85,121.57
796,834.36,154.58
797,1334.25,97.42
798,228.69,68.84
799,137.6,82.45
800,228.69,68.84
801,228.69,68.84
802,238.97,48.12
803,182.19,98.84
804,205.54,80.36
805,315.03,48.63
806,302.75,67.12
807,302.75,67.12
808,204.84,99.25
809,236.12,56.52
810,274.71,62.54
811,302.75,67.12
812,152.24,204.33
813,133.58,151.81
814,152.24,204.33
815,152.24,204.33
816,170.39,192.14
817,126.6,165.25
818,213.42,238.22
819,227.1,210.23
820,250.52,194.56
821,250.52,194.56
822,139.47,189.04
823,227.58,195.14
824,207.24,187.48
825,250.52,194.56
826,481.23,363.88
827,2322.76,221.35
828,481.23,363.88
829,481.23,363.88
830,359.08,411.24
831,1136.16,321.09
832,851.68,276.73
833,712.11,313.25
834,814.08,359.7
835,814.08,359.7
836,3754.44,198.18
837,567.71,350.82
838,674.76,417.3
839,814.08,359.7
840,2022.49,94.13
841,4127.06,58.58
842,2022.49,94.13
843,2022.49,94.13
